Firm Name,CRD Number,SEC Registration Type,Custodian,Has Proprietary Funds,ADV URL,IAPD Profile URL,FilingDate,Notes
SCALA CAPITAL LLC,156165,SEC,,,,,3/21/2025,
TRESTLE PARTNERS,330947,SEC,,,,,3/21/2025,
RIVA RIDGE CAPITAL MANAGEMENT LP,137716,SEC,,,,,3/21/2025,
RED OAK FINANCIAL GROUP,166912,SEC,,,,,3/21/2025,
"RALLYDAY PARTNERS, LLC",307309,SEC,,,,,3/21/2025,
HY24,325177,SEC,,,,,3/21/2025,
"CASTLEARK ALTERNATIVES, LLC",288893,SEC,,,,,3/31/2025,
ROSENBLATT GLOBAL ADVISORS,311654,SEC,,,,,3/31/2025,
FCP,161468,SEC,,,,,3/31/2025,
"NHS GP, LLC",311365,SEC,,,,,8/14/2024,
WHIPPOORWILL ASSOCIATES INC,107497,SEC,,,,,3/17/2025,
HADLEY,313400,SEC,,,,,3/17/2025,
INTEGRA GLOBAL ADVISORS LLC,288511,SEC,,,,,3/31/2025,
RUTLAND PARTNERS LLP,161728,SEC,,,,,2/20/2025,
ABUNDO WEALTH,304612,SEC,,,,,3/31/2025,
STENHAM ASSET MANAGEMENT LIMITED,164382,SEC,,,,,8/14/2024,
"OFFLINE VENTURES, LLC",310724,SEC,,,,,3/31/2025,
"RELAY INVESTMENTS MANAGEMENT, LLC",170538,SEC,,,,,3/31/2025,
ELEVATE CAPITAL ADVISORS,288190,SEC,,,,,2/20/2025,
JOHN MOORE & ASSOCIATES INC,109791,SEC,,,,,3/31/2025,
KAI WEALTH LLC,332136,SEC,,,,,2/21/2025,
AMERICA COSTONE INVESTMENT ADVISERS INC.,328134,SEC,,,,,3/17/2025,
RED CLIFF ASSET MANAGEMENT LIMITED,169318,SEC,,,,,3/31/2025,
"PILLAR COMPANIES MANAGEMENT, LLC",284053,SEC,,,,,3/31/2025,
GROWTHCURVE CAPITAL LP,313204,SEC,,,,,3/31/2025,
VIEWPOINT CAPITAL MANAGEMENT,158899,SEC,,,,,2/21/2025,
JIBE SELECT 1 MANAGEMENT LTD,330202,SEC,,,,,3/17/2025,
"LANIER ASSET MANAGEMENT, LLC",150888,SEC,,,,,2/21/2025,
NAVIS CAPITAL,162052,SEC,,,,,6/13/2024,
KOMOREBI GLOBAL,310437,SEC,,,,,3/12/2025,
GRYPHON FINANCIAL PARTNERS,288210,SEC,,,,,3/12/2025,
360 ONE ASSET MANAGEMENT LIMITED,300914,SEC,,,,,2/13/2025,
BARAK FUND MANAGEMENT,282917,SEC,,,,,3/13/2025,
"NEXT GENERATION INVESTING, LLC",149017,SEC,,,,,9/12/2023,
MARK GILLAM ENTERPRISES,108632,SEC,,,,,3/12/2025,
"ORANGE INVESTMENT ADVISORS, LLC",289406,SEC,,,,,3/31/2025,
"CIC, LLC",311969,SEC,,,,,2/13/2025,
BROWN EDWARDS WEALTH STRATEGIES,173559,SEC,,,,,8/27/2024,
KRILOGY,149046,SEC,,,,,3/31/2025,
"IPG INVESTMENT ADVISORS, LLC",152990,SEC,,,,,3/31/2025,
TIMONIER,150748,SEC,,,,,3/12/2025,
"OCEAN AVENUE CAPITAL PARTNERS, L.P.",160122,SEC,,,,,3/12/2025,
WEALTHCARE CAPITAL MANAGEMENT LLC,111119,SEC,,,,,3/31/2025,
U.S. NEWS FINANCIAL CONNECT,313479,SEC,,,,,3/31/2025,
"NORTHBRIDGE FINANCIAL GROUP, LLC",310394,SEC,,,,,3/13/2025,
DNX VENTURE PARTNERS IV,333106,SEC,,,,,2/13/2025,
BACH OPTION LIMITED,281358,SEC,,,,,3/12/2025,
DNX VENTURES,301664,SEC,,,,,2/13/2025,
UBS ASSET MANAGEMENT (AMERICAS) LLC,106838,SEC,,,,,3/31/2025,
"WESTBOUND EQUITY MANAGEMENT, LLC",306955,SEC,,,,,3/31/2025,
QUIENA INVERSIONES,283236,SEC,,,,,3/12/2025,
CAPITAL IP INVESTMENT PARTNERS LP,326733,SEC,,,,,3/31/2025,
"VESTGEN ADVISORS, LLC",318657,SEC,,,,,3/31/2025,
"ROLAND CAPITAL GROUP, LLC",318563,SEC,,,,,3/31/2025,
MASLOW WEALTH ADVISORS,107722,SEC,,,,,3/19/2025,
"HERITAGE WEALTH MANAGEMENT GROUP, LTD",148459,SEC,,,,,3/19/2025,
"ALPHA SQUARE GROUP S, LLC",308022,SEC,,,,,3/31/2025,
ARCTIS GLOBAL LLC,308220,SEC,,,,,3/31/2025,
QUINBROOK INFRASTRUCTURE PARTNERS PTY LIMITED,288764,SEC,,,,,3/31/2025,
THE LONDON COMPANY OF VIRGINIA,106654,SEC,,,,,3/19/2025,
ROCKBRIDGE CAPITAL MANAGEMENT,329880,SEC,,,,,3/31/2025,
"ROBOTTI & COMPANY ADVISORS, LLC",128093,SEC,,,,,3/31/2025,
PROPEL EQUITY LLC,331311,SEC,,,,,3/19/2025,
"VB ASSET MANAGEMENT, LLC",314585,SEC,,,,,7/27/2023,
"CUADRILLA CAPITAL, LLC",314510,SEC,,,,,3/31/2025,
"GALLIOTT CAPITAL ADVISORS, LLC",313094,SEC,,,,,3/31/2025,
RE-ENVISION WEALTH,299357,SEC,,,,,3/31/2025,
FUEL VENTURE CAPITAL PARTNERS LLC,304225,SEC,,,,,3/31/2025,
"ROCHESTER WEALTH STRATEGIES, LLC",299150,SEC,,,,,4/9/2025,
"PERIPHAS CAPITAL, LP",291980,SEC,,,,,3/21/2025,
"SOLIDARITY WEALTH, LLC",315843,SEC,,,,,2/12/2025,
IRONSHIELD CAPITAL MANAGEMENT LLP,162836,SEC,,,,,4/9/2025,
"ARCLIGHT CAPITAL PARTNERS, LLC",161228,SEC,,,,,3/21/2025,
"ASCEND INTERPLAY, LLC",317344,SEC,,,,,4/9/2025,
SUNSTONE ASSET MANAGEMENT,328895,SEC,,,,,4/9/2025,
"GLOBAL BROKERAGE SERVICES, INC.",37505,SEC,,,,,2/13/2025,
"BIMINI ADVISORS, LLC",164944,SEC,,,,,3/21/2025,
"WORLEY ERHART-GRAVES FINANCIAL ADVISORS, INC.",121978,SEC,,,,,2/13/2025,
"PREMIER WEALTH ADVISORS, LLC",120358,SEC,,,,,3/21/2025,
PSQUARED ASSET MANAGEMENT AG,172051,SEC,,,,,4/9/2025,
DECAGON ASSET MANAGEMENT (US) LP,322135,SEC,,,,,3/21/2025,
M1 CAPITAL MANAGEMENT LLC,158269,SEC,,,,,2/13/2025,
"FELDSTEIN, STEVEN DBA STEVEN FELDSTEIN & ASSOCIATES",109022,SEC,,,,,2/13/2025,
"BASIS SET VENTURES, LLC",289323,SEC,,,,,3/27/2025,
VULPES INVESTMENT MANAGEMENT PRIVATE LIMITED,161048,SEC,,,,,3/27/2025,
"MERIDIAN WEALTH ADVISORS, LLC",140991,SEC,,,,,3/3/2025,
XINGTAI CAPITAL MANAGEMENT LIMITED,310952,SEC,,,,,3/27/2025,
ASTIGNES CAPITAL ASIA PTE. LTD.,152719,SEC,,,,,3/27/2025,
CAMPBELL NEWMAN ASSET MANAGEMENT INC,107003,SEC,,,,,3/3/2025,
WORLD TOTAL RETURN INC.,174971,SEC,,,,,3/3/2025,
THEORY FINANCIAL,304084,SEC,,,,,3/3/2025,
"SITTNER & NELSON, LLC",309757,SEC,,,,,3/27/2025,
"BIP WEALTH, LLC",143208,SEC,,,,,3/27/2025,
SH FUND,325479,SEC,,,,,3/3/2025,
KENSICO CAPITAL MANAGEMENT CORP.,157934,SEC,,,,,3/27/2025,
TORONADO PARTNERS LLC,283612,SEC,,,,,3/27/2025,
RHUMBLINE ADVISERS,107151,SEC,,,,,3/27/2025,
"ROCKLAND CAPITAL, LP",156791,SEC,,,,,3/31/2025,
WHITE OAK CAPITAL MANAGEMENT CONSULTANTS LLP,301784,SEC,,,,,6/28/2024,
FRANCISCO PARTNERS,160272,SEC,,,,,3/31/2025,
"HOLLAND ADVISORY SERVICES, INC.",136302,SEC,,,,,3/13/2025,
"CANNON HILL INVESTMENT MANAGEMENT, LLC",166750,SEC,,,,,3/31/2025,
"O'LEARY VENTURES MANAGEMENT, L.P.",325968,SEC,,,,,3/31/2025,
BRIO CAPITAL MANAGEMENT LLC,171707,SEC,,,,,3/13/2025,
"HPS INVESTMENT PARTNERS, LLC",282125,SEC,,,,,3/31/2025,
"MYRIAD VENTURE PARTNERS, LLC",325814,SEC,,,,,3/31/2025,
BOERUM HILL FINANCIAL ADVISORS LLC,288987,SEC,,,,,3/13/2025,
VIRTUS REAL ESTATE LLC,164146,SEC,,,,,3/31/2025,
CHANNEL INVESTMENT PARTNERS,308031,SEC,,,,,3/13/2025,
JANUARY CAPITAL ADVISORS LLC,177514,SEC,,,,,3/13/2025,
"ASHTON THOMAS SECURITIES, LLC",16629,SEC,,,,,3/31/2025,
PRINCIPAL REAL ESTATE,109008,SEC,,,,,3/31/2025,
LIVELIFE CAPITAL PARTNERS  LLC,290008,SEC,,,,,3/13/2025,
MONTA VISTA CAPITAL,172403,SEC,,,,,3/31/2025,
ETNA CAPITAL,330644,SEC,,,,,3/31/2025,
LIFETIME WEALTH MANAGEMENT P.C.,145492,SEC,,,,,3/31/2025,
LAUDE VENTURES,332427,SEC,,,,,3/12/2025,
ALIGN VENTURES,323154,SEC,,,,,3/31/2025,
COOKSON PEIRCE WEALTH MANAGEMENT,110729,SEC,,,,,3/31/2025,
ARCHER INVESTMENT MANAGEMENT,146852,SEC,,,,,2/12/2025,
"JTS FUND ADVISORS, LLC",283677,SEC,,,,,3/31/2025,
LODBROK CAPITAL LLP,286525,SEC,,,,,2/13/2025,
CHURCHILL PCIF ADVISOR LLC,329140,SEC,,,,,3/31/2025,
CLAYTON PARTNERS LLC,127546,SEC,,,,,3/31/2025,
"GREAT HILL CAPITAL, LLC",328021,SEC,,,,,2/13/2025,
CLOUDALPHA CAPITAL MANAGEMENT LIMITED,315918,SEC,,,,,3/25/2025,
JUMP CAPITAL,283024,SEC,,,,,2/13/2025,
SERAYA MANAGEMENT PRIVATE LIMITED,321965,SEC,,,,,3/25/2025,
"TISHMAN SPEYER PROPERTIES, L.P.",160079,SEC,,,,,3/31/2025,
"TITANIUM ADVISORS, LLC",153943,SEC,,,,,2/13/2025,
"TEUCRIUM INVESTMENT ADVISORS, LLC",318799,SEC,,,,,2/13/2025,
BRIGHT ANGEL ADVISORS LLC,311704,SEC,,,,,3/31/2025,
RETIREMENT WELLNESS GROUP,297255,SEC,,,,,3/31/2025,
"IFC INVESTMENT MANAGEMENT, LLC",305377,SEC,,,,,3/31/2025,
LIM ADVISORS LIMITED,159888,SEC,,,,,3/25/2025,
VANTAGE CONSULTING GROUP INC,105240,SEC,,,,,3/31/2025,
"BAUKUNST MANAGEMENT COMPANY, LLC",323886,SEC,,,,,3/31/2025,
WILLOW TREE CREDIT PARTNERS SBIC MANAGEMENT LP,333473,SEC,,,,,3/31/2025,
"HALO INVESTMENT SERVICES, LLC",325613,SEC,,,,,3/31/2025,
FFT WEALTH MANAGEMENT,151225,SEC,,,,,3/31/2025,
"ARROWMARK COLORADO HOLDINGS, LLC",149120,SEC,,,,,3/31/2025,
ALAMUT INVESTMENT MANAGEMENT LLP,335202,SEC,,,,,3/3/2025,
AMPLIUS WEALTH ADVISORS,312463,SEC,,,,,3/3/2025,
"MCQUEEN FINANCIAL ADVISORS II, INC.",109325,SEC,,,,,3/26/2025,
COLORADO WEALTH GROUP LLC,310024,SEC,,,,,3/3/2025,
KIRTLAND CAPITAL PARTNERS,159774,SEC,,,,,3/26/2025,
FUTURE POSITIVE,309644,SEC,,,,,3/26/2025,
SPP CREDIT ADVISORS LLC,314442,SEC,,,,,3/26/2025,
"PATRICK M. SWEENEY & ASSOCIATES, INC",112802,SEC,,,,,3/3/2025,
TODD WEALTH MANAGEMENT LLC,164761,SEC,,,,,3/3/2025,
"COSEY FINANCIAL SERVICES, INC.",140175,SEC,,,,,3/3/2025,
"FINANCIAL MANAGEMENT STRATEGIES, INC.",120818,SEC,,,,,3/26/2025,
DEAN INVESTMENTS,104635,SEC,,,,,3/26/2025,
DEAN FINANCIAL SERVICES,129679,SEC,,,,,3/26/2025,
BLUEFIN FINANCIAL,288375,SEC,,,,,3/3/2025,
ELAN CAPITAL MANAGEMENT OY,311801,SEC,,,,,3/26/2025,
SPECTRUM FINANCIAL INC,105618,SEC,,,,,3/26/2025,
"7WIRE MANAGEMENT, L.P.",287776,SEC,,,,,3/31/2025,
"OSAIC ADVISORY SERVICES, LLC",171070,SEC,,,,,3/31/2025,
BLUE OWL TECHNOLOGY CREDIT ADVISORS II LLC,316821,SEC,,,,,3/31/2025,
VISE AI ADVISORS,301761,SEC,,,,,3/31/2025,
OPCAPITA LLP,175074,SEC,,,,,3/31/2025,
PRECEPT ADVISORY GROUP LLC,152776,SEC,,,,,3/31/2025,
"GSSG SOLAR, LLC",307493,SEC,,,,,3/31/2025,
"SATORI CAPITAL, LLC",161829,SEC,,,,,3/31/2025,
DETTERBECK WEALTH MANAGEMENT,111594,SEC,,,,,2/21/2025,
OAK TREE INVESTMENT ADVISORS,111095,SEC,,,,,2/21/2025,
TIFIN GIVE,313261,SEC,,,,,3/31/2025,
"THE LEGACY FINANCIAL GROUP, INC.",135059,SEC,,,,,2/21/2025,
LEVEL EQUITY,160016,SEC,,,,,3/31/2025,
HUNTER ASSOCIATES LLC,30177,SEC,,,,,3/31/2025,
"DELTA ADVISORY GROUP, INC.",105966,SEC,,,,,3/31/2025,
PITANGO INTERNATIONAL MC 2019 LTD.,313693,SEC,,,,,3/31/2025,
"OMEGA ADVISERS, LLC.",291076,SEC,,,,,3/31/2025,
"POINT72 ASSET MANAGEMENT, L.P.",283077,SEC,,,,,3/31/2025,
"TURNER FINANCIAL GROUP, INC.",134204,SEC,,,,,3/31/2025,
BBQ OPPORTUNITY VENTURES LLC,318128,SEC,,,,,1/2/2025,
MOERUS CAPITAL MANAGEMENT LLC,282399,SEC,,,,,3/27/2025,
SFC FINANCIAL LLC,129817,SEC,,,,,2/28/2025,
"ANGELENO GROUP, LLC",159677,SEC,,,,,3/27/2025,
IRON TRIANGLE PARTNERS LP,302077,SEC,,,,,3/27/2025,
BK GROWTH PARTNERS MANAGEMENT COMPANY LLC,322028,SEC,,,,,1/21/2025,
TIMMONS WEALTH MANAGEMENT,165914,SEC,,,,,3/27/2025,
"MENGIS CAPITAL MANAGEMENT, INC.",117127,SEC,,,,,2/28/2025,
PACIFIC INCOME ADVISERS INC,104719,SEC,,,,,3/27/2025,
"SANDY MORRIS FINANCIAL & ESTATE PLANNING SERVICES, LLC",187519,SEC,,,,,2/28/2025,
"TOTAL WEALTH PLANNING, LLC",174434,SEC,,,,,2/28/2025,
FJELL CAPITAL,327541,SEC,,,,,3/26/2025,
"TOTAL INVESTMENT MANAGEMENT, INC.",108818,SEC,,,,,3/25/2025,
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,162379,SEC,,,,,3/31/2025,
"ANDREW GARRETT, INC.",29931,SEC,,,,,3/31/2025,
APPIAN CAPITAL ADVISORY LLP,169511,SEC,,,,,9/27/2024,
HARBOR ISLAND CAPITAL LLC,107457,SEC,,,,,2/20/2025,
FAMILY LEGACY PLANNING,294277,SEC,,,,,2/20/2025,
"ALBERT INVESTMENTS, LLC",298006,SEC,,,,,3/31/2025,
"THREE LIONS CAPITAL MANAGEMENT, LLC",316943,SEC,,,,,3/31/2025,
T. ROWE PRICE INTERNATIONAL LTD,126032,SEC,,,,,3/31/2025,
TRUE,313542,SEC,,,,,6/26/2024,
TRITON INVESTMENTS ADVISERS LLP,301196,SEC,,,,,6/26/2024,
ALTUM WEALTH ADVISORS,301214,SEC,,,,,2/21/2025,
PRIVATE FAMILY WEALTH ADVISORS,325119,SEC,,,,,2/20/2025,
"GSB CAPITAL, LLC",311571,SEC,,,,,3/31/2025,
APC FINANCIAL PLANNING,7890,SEC,,,,,2/21/2025,
NPJ ASSET MANAGEMENT LLP,140986,SEC,,,,,6/26/2024,
ALIGNE WEALTH ADVISORS INVESTMENT MANAGEMENT (AWAIM),321735,SEC,,,,,2/21/2025,
NORTHSTAR INVESTMENT ADVISORY LLC,315965,SEC,,,,,2/21/2025,
"BRIGHTSPIRE CAPITAL ADVISORS, LLC",312908,SEC,,,,,3/31/2025,
ASPIRE CAPITAL ADVISORS LLC,298366,SEC,,,,,3/26/2025,
SPP CREDIT ADVISORS II LLC,323725,SEC,,,,,3/26/2025,
NEWSOUTH CAPITAL MANAGEMENT INC,110676,SEC,,,,,6/26/2024,
INSIGNIA VENTURES PARTNERS PTE. LTD.,290615,SEC,,,,,3/26/2025,
MAGNOLIA CAPITAL MANAGEMENT,119597,SEC,,,,,3/26/2025,
OARS CAPITAL,153198,SEC,,,,,3/26/2025,
G SQUARE HEALTHCARE PRIVATE EQUITY LLP,166004,SEC,,,,,6/26/2024,
"BREVAN HOWARD CAPITAL MANAGEMENT, LP",161292,SEC,,,,,8/8/2024,
"VANTAGE WEALTH MANAGEMENT, LLC",152374,SEC,,,,,3/26/2025,
"REZNY WEALTH MANAGEMENT, INC.",109638,SEC,,,,,3/4/2025,
ELITE RETIREMENT GROUP,312178,SEC,,,,,3/4/2025,
SPRINKLE FINANCIAL CONSULTANTS LLC,112227,SEC,,,,,3/26/2025,
"CAPVISOR ASSOCIATES, LLC",289154,SEC,,,,,3/4/2025,
"EXPLORADOR CAPITAL MANAGEMENT, LLC",139762,SEC,,,,,3/26/2025,
PHILOS & PARTNERS AG,323552,SEC,,,,,3/26/2025,
"OCTOBER WEALTH ADVISORS, INC",153993,SEC,,,,,3/4/2025,
CSP MANAGEMENT II LIMITED,324691,SEC,,,,,7/3/2023,
"KEMPNER CAPITAL MANAGEMENT, INC.",104784,SEC,,,,,3/4/2025,
VOLORIDGE,152869,SEC,,,,,4/16/2025,
"JEEREDDI INVESTMENTS, LP",158075,SEC,,,,,3/21/2025,
"ALTITUDE VENTURES MANAGEMENT, LLC",269981,SEC,,,,,4/16/2025,
KEIDAN FINANCIAL CONSULTANTS LLC,108093,SEC,,,,,2/21/2025,
"CABLE HILL PARTNERS, LLC",168252,SEC,,,,,3/21/2025,
MARWYN INVESTMENT MANAGEMENT LLP,315901,SEC,,,,,6/3/2024,
KILTERHOWLING LLC,169684,SEC,,,,,3/21/2025,
"CASSEDY FINANCIAL GROUP, INC.",111446,SEC,,,,,4/16/2025,
"CA ADVISER, LLC",300183,SEC,,,,,3/20/2025,
LAW & ASSOCIATES INC,105350,SEC,,,,,3/20/2025,
"NICOLLET INVESTMENT MANAGEMENT, INC.",109401,SEC,,,,,4/16/2025,
HWA FINANCIAL GROUP,120745,SEC,,,,,4/16/2025,
CANTLON FINANCIAL PLANNING LLC,106622,SEC,,,,,2/19/2025,
"FIDUCIARY WEALTH ADVISORS, LLC",170709,SEC,,,,,2/21/2025,
CANDELO CAPITAL MANAGEMENT LP,307389,SEC,,,,,3/21/2025,
DALLAS VENTURE CAPITAL,312358,SEC,,,,,2/21/2025,
FMP WEALTH ADVISERS,110270,SEC,,,,,3/21/2025,
APOGEE INVESTMENT MANAGEMENT,173687,SEC,,,,,3/21/2025,
PRATO CAPITAL MANAGEMENT,289917,SEC,,,,,1/30/2025,
WHITECROFT CAPITAL MANAGEMENT,327965,SEC,,,,,6/3/2024,
"MILLENNIUM NEW HORIZONS MANAGEMENT, LLC",325455,SEC,,,,,3/31/2025,
"QP GLOBAL FAMILY OFFICES, LLC",294879,SEC,,,,,3/31/2025,
"TUSCAN CAPITAL MANAGEMENT, LLC",330705,SEC,,,,,4/16/2024,
"DARWIN VENTURES, LLC",157665,SEC,,,,,3/31/2025,
"HC CAPITAL PARTNERS, LLC",160737,SEC,,,,,3/31/2025,
"ADVISORS FINANCIAL, INC.",144837,SEC,,,,,2/20/2025,
"BCPC ADVISORS, LP",327851,SEC,,,,,3/31/2025,
EARTHQUAKE,324439,SEC,,,,,2/15/2023,
"VIOLA GROWTH INVESTMENTS MANAGEMENT 4, LIMITED PARTNERSHIP",330039,SEC,,,,,3/31/2025,
KATALYST.VENTURES,294643,SEC,,,,,2/20/2025,
REITZ CAPITAL ADVISORS LLC,167088,SEC,,,,,2/20/2025,
DIOSCURI CAPITAL MANAGEMENT LLC,170788,SEC,,,,,3/31/2025,
ASA INVESTMENTS,318688,SEC,,,,,3/31/2025,
"STERLING INVESTMENT PARTNERS ADVISERS, LLC",156946,SEC,,,,,3/31/2025,
MAS ADVISORS LLC,165906,SEC,,,,,3/27/2025,
SOUND SHORE MANAGEMENT INC,112379,SEC,,,,,3/27/2025,
INSIGHT INVESTMENT,145995,SEC,,,,,4/9/2025,
ALPHAAI CAPITAL MANAGEMENT,316128,SEC,,,,,2/7/2025,
"EMPOWER FINANCIAL ADVISORY, LLC",313968,SEC,,,,,2/7/2025,
"GHCM UK, LTD.",283987,SEC,,,,,1/18/2024,
JPL MANAGEMENT SERVICES LLC,291242,SEC,,,,,3/27/2025,
NORTHWEST CAPITAL MANAGEMENT INC.,108091,SEC,,,,,4/9/2025,
"GENERAL INNOVATION CAPITAL, LLC",331306,SEC,,,,,3/27/2025,
WOODARD & CO ASSET MANAGEMENT GROUP INC,108199,SEC,,,,,3/27/2025,
GRAIAN CAPITAL MANAGEMENT SA,317052,SEC,,,,,3/27/2025,
INTRINSIC EDGE CAPITAL MANAGEMENT LLC,285034,SEC,,,,,4/9/2025,
"ACE & COMPANY NEW YORK, INC.",304442,SEC,,,,,3/27/2025,
WHITE HAT CAPITAL PARTNERS LP,288059,SEC,,,,,3/27/2025,
ANISH MEHTA CAPITAL LLC,335049,SEC,,,,,2/7/2025,
"HAWKTAIL MANAGEMENT, LLC",321161,SEC,,,,,2/7/2025,
PAMLICO CAPITAL,157532,SEC,,,,,3/27/2025,
WINSHORE CAPITAL PARTNERS LP,300347,SEC,,,,,2/13/2025,
LAUER WEALTH MANAGEMENT,289763,SEC,,,,,2/13/2025,
"CAVANAL HILL INVESTMENT MANAGEMENT, INC.",110774,SEC,,,,,3/26/2025,
"HOLCOMBE FINANCIAL, INC.",142238,SEC,,,,,4/24/2025,
INTEGRITY ADVISORY SOLUTIONS,288817,SEC,,,,,4/24/2025,
EXPONENT WEALTH,334968,SEC,,,,,3/26/2025,
"GOLDCREST ADVISORY, LLC",281506,SEC,,,,,3/26/2025,
"LOUDON INVESTMENT MANAGEMENT, LLC",113641,SEC,,,,,3/26/2025,
DRC SAVILLS INVESTMENT MANAGEMENT LLP,164242,SEC,,,,,3/26/2025,
"METAVC CAPITAL, LLC",331093,SEC,,,,,3/26/2025,
POWERSET,334727,SEC,,,,,4/24/2025,
JMAC ENTERPRISES LLC,312710,SEC,,,,,4/24/2025,
"BC ADVISORS, LLC",142982,SEC,,,,,4/24/2025,
DEMARS FINANCIAL GROUP LLC,116257,SEC,,,,,2/13/2025,
"MINGLY CHINA GROWTH MANAGEMENT COMPANY, LTD.",163019,SEC,,,,,2/13/2025,
GENERATIONAL WEALTH ADVISORS,135145,SEC,,,,,4/24/2025,
ONE CHARLES PRIVATE WEALTH,286635,SEC,,,,,3/26/2025,
"JOSEPH GUNNAR & CO., LLC",24795,SEC,,,,,4/23/2025,
CONVEXITAS,315145,SEC,,,,,4/23/2025,
ATLAS ASSET MANAGEMENT LLC,173561,SEC,,,,,2/13/2025,
"AURA FINANCE, INC.",318940,SEC,,,,,3/26/2025,
"TRIFECTA CAPITAL ADVISORS, LLC",317391,SEC,,,,,4/23/2025,
MADISON INDIA CAPITAL MANAGEMENT LLC,286310,SEC,,,,,3/26/2025,
"DORSEY, WRIGHT & ASSOCIATES, LLC",104925,SEC,,,,,4/23/2025,
CATCH POINT RIGHTS PARTNERS LP,310136,SEC,,,,,3/27/2025,
"5C CAPITAL MANAGEMENT, LLC",284213,SEC,,,,,4/14/2025,
GIVERNY CAPITAL ADVISORS,150123,SEC,,,,,3/27/2025,
"RETIREMENT PLANS, INC.",286214,SEC,,,,,2/21/2025,
DSC MERIDIAN CAPITAL LP,296590,SEC,,,,,3/27/2025,
TRIANGLE WEALTH MANAGEMENT,148156,SEC,,,,,2/20/2025,
WEDBUSH VENTURES MANAGEMENT,312590,SEC,,,,,3/27/2025,
"GRP FINANCIAL SERVICES, LLC",333183,SEC,,,,,4/14/2025,
CHRONOS CAPITAL ADVISORS LLC,283639,SEC,,,,,4/14/2025,
ALASKA WEALTH ADVISORS,172151,SEC,,,,,4/14/2025,
"GREENWOOD AND CAVALIER, LP",330381,SEC,,,,,2/20/2025,
TRUMIX ADVISORS,310222,SEC,,,,,4/14/2025,
H FINANCIAL MANAGEMENT,148209,SEC,,,,,2/20/2025,
WEALTHSPRING,322756,SEC,,,,,3/27/2025,
"HICKS & ASSOCIATES WEALTH MANAGEMENT, LLC",323171,SEC,,,,,3/11/2025,
TRILANTIC NORTH AMERICA,152331,SEC,,,,,3/31/2025,
"NEWPORT CAPITAL GROUP, LLC",144442,SEC,,,,,3/31/2025,
LYNCH & ASSOCIATES,108326,SEC,,,,,3/11/2025,
BDT CAPITAL PARTNERS,160914,SEC,,,,,3/31/2025,
BLACKROCK INTERNATIONAL LIMITED,106843,SEC,,,,,3/31/2025,
"CAPITAL INSIGHTS GROUP OF WNY, LLC.",282909,SEC,,,,,3/31/2025,
NEUBERGER BERMAN LOAN ADVISERS IV LLC,324282,SEC,,,,,3/31/2025,
NEUBERGER BERMAN LOAN ADVISERS II LLC,306601,SEC,,,,,3/31/2025,
"MORADO VENTURES, LLC",168743,SEC,,,,,3/31/2025,
"17 CAPITAL PARTNERS, LLC",283013,SEC,,,,,3/31/2025,
OSMOSIS INVESTMENT MANAGEMENT US LLC,283049,SEC,,,,,3/11/2025,
"SKYBRIDGE CAPITAL II, LLC",148152,SEC,,,,,3/31/2025,
NO STREET GP LP,299240,SEC,,,,,3/31/2025,
"NEW HERITAGE CAPITAL, LLC",160083,SEC,,,,,3/31/2025,
"LISC FUND MANAGEMENT, LLC",304733,SEC,,,,,5/2/2025,
ASTRIS ADVISORY JAPAN K.K.,307365,SEC,,,,,4/30/2025,
"DOVER ADVISORS, LLC",320832,SEC,,,,,2/12/2025,
"FUNDRISE ADVISORS, LLC",172036,SEC,,,,,3/24/2025,
AIP MANAGEMENT US,322515,SEC,,,,,3/24/2025,
"A. WALKER & CO, LLC",327323,SEC,,,,,3/24/2025,
PRESTON INVESTMENTS,289926,SEC,,,,,5/1/2025,
"7G BIOVENTURES MANAGEMENT COMPANY, LLC",318414,SEC,,,,,3/24/2025,
STANCE CAPITAL LLC,284267,SEC,,,,,5/1/2025,
M PARTNERS CAPITAL LLC,329862,SEC,,,,,5/1/2025,
"TRITONPOINT PARTNERS, LLC",333259,SEC,,,,,5/1/2025,
CALIBRATE PARTNERS,318719,SEC,,,,,5/2/2025,
"WELLS FARGO INVESTMENT INSTITUTE, INC.",133204,SEC,,,,,3/24/2025,
JEDIVC MANAGEMENT LLC,300882,SEC,,,,,5/2/2025,
"CONCORD ASSET MANAGEMENT, LLC",310710,SEC,,,,,3/24/2025,
"EAGLE HARBOR ASSET MANAGEMENT, INC.",108089,SEC,,,,,2/12/2025,
"NEOS PARTNERS, LP",323847,SEC,,,,,5/2/2025,
"COLISEUM CAPITAL MANAGEMENT, LLC",158120,SEC,,,,,5/2/2025,
"HARPSWELL CAPITAL ADVISORS, LLC",168996,SEC,,,,,3/24/2025,
"CONNECTIVE WEALTH PARTNERS, LLC",335624,SEC,,,,,5/2/2025,
"FINSYM PARTNERS, LLC",153712,SEC,,,,,2/12/2025,
"EQUARIAN CAPITAL MANAGEMENT, LLC",310380,SEC,,,,,2/12/2025,
FRANKLY FINANCES,321270,SEC,,,,,3/10/2025,
LFM CAPITAL,173834,SEC,,,,,3/31/2025,
HANSEATIC MANAGEMENT SERVICES INC,107110,SEC,,,,,3/31/2025,
